%Bassin de Beterou				
%code lacune 	-9999			
%surface bassin	10080	km2		
%coordonnées (lat, lon)	9.199	2.267		
%date	annee	P	ETP	Q m3 /s

25   05   03 06   00	2003	0.02	4.53	0
26   05   03 06   00	2003	1.65	2.29	0
27   05   03 06   00	2003	0.06	3.09	0
28   05   03 06   00	2003	11.57	4.36	0
29   05   03 06   00	2003	32.77	3.09	0
30   05   03 06   00	2003	0.31	1.55	0
31   05   03 06   00	2003	5.61	3.52	0
01   06   03 06   00	2003	1.17	3	0
02   06   03 06   00	2003	24.41	2.43	0
03   06   03 06   00	2003	1.57	2.49	0.02
04   06   03 06   00	2003	2.98	4.4	6.61
05   06   03 06   00	2003	3.82	3.58	14.05
06   06   03 06   00	2003	21.19	4	20.31
07   06   03 06   00	2003	0.42	2.64	17.49
08   06   03 06   00	2003	18.01	3.87	12.17
09   06   03 06   00	2003	1.26	4.06	9.72
10   06   03 06   00	2003	7.34	3.86	8.14
11   06   03 06   00	2003	12.82	0.64	7.2
12   06   03 06   00	2003	2.54	3.05	7.71
13   06   03 06   00	2003	27.7	3.01	12.35
14   06   03 06   00	2003	0.33	1.68	24.62
15   06   03 06   00	2003	2.08	3.79	31.87
16   06   03 06   00	2003	0.05	4.17	31.37
17   06   03 06   00	2003	0.07	3.66	34.33
18   06   03 06   00	2003	11.56	3.61	23.41
19   06   03 06   00	2003	0.05	3.69	16.64
20   06   03 06   00	2003	12.45	4.1	13.84
21   06   03 06   00	2003	0.04	3.55	11.77
22   06   03 06   00	2003	0.87	3.27	10.04
23   06   03 06   00	2003	3.71	2.51	9.13
24   06   03 06   00	2003	5.8	1.68	11.72
25   06   03 06   00	2003	27.88	2.5	12.38
26   06   03 06   00	2003	27.78	2.28	11.43
27   06   03 06   00	2003	2.02	1.93	14.28
28   06   03 06   00	2003	0.67	2.9	28.96
29   06   03 06   00	2003	17.54	3.09	74.97
30   06   03 06   00	2003	0.57	2.62	94.09
01   07   03 06   00	2003	0.04	2.95	56.59
02   07   03 06   00	2003	13.36	2.78	52.61
03   07   03 06   00	2003	0.12	3.71	40.23
04   07   03 06   00	2003	10.1	2.21	30.17
05   07   03 06   00	2003	0.07	3.32	60.11
06   07   03 06   00	2003	0.15	3.33	42.59
07   07   03 06   00	2003	1.18	2.83	32.79
08   07   03 06   00	2003	7.41	2.59	25.45
09   07   03 06   00	2003	1.07	2.33	20.01
10   07   03 06   00	2003	15.67	2.49	18.05
11   07   03 06   00	2003	0.59	2.1	36.94
12   07   03 06   00	2003	1.11	1.92	41.75
13   07   03 06   00	2003	0.5	2.9	27.69
14   07   03 06   00	2003	5.66	1.58	24.98
15   07   03 06   00	2003	1.76	2.85	20.91
16   07   03 06   00	2003	8.46	3.22	18.09
17   07   03 06   00	2003	25.16	2.93	21.96
18   07   03 06   00	2003	0.06	3.25	35.97
19   07   03 06   00	2003	6.01	2.6	34.66
20   07   03 06   00	2003	5.16	1.85	56.36
21   07   03 06   00	2003	14.91	1.74	59.62
22   07   03 06   00	2003	4.67	2.55	44.99
23   07   03 06   00	2003	8.42	3.48	50.91
24   07   03 06   00	2003	2.05	2.3	61.34
25   07   03 06   00	2003	1.21	2.69	63.51
26   07   03 06   00	2003	7.32	2.88	62.54
27   07   03 06   00	2003	3.41	2.04	68.34
28   07   03 06   00	2003	2.2	3.65	64.05
29   07   03 06   00	2003	1.32	2.96	41.09
30   07   03 06   00	2003	11.59	4.07	33.63
31   07   03 06   00	2003	44.17	3.38	45.17
01   08   03 06   00	2003	11.99	0.19	129.72
02   08   03 06   00	2003	5.17	3.23	141.68
03   08   03 06   00	2003	4.83	3.25	160.36
04   08   03 06   00	2003	13.24	3.23	195.76
05   08   03 06   00	2003	1.13	3.14	212.43
06   08   03 06   00	2003	18.76	2.99	216.96
07   08   03 06   00	2003	16.32	0.61	239.66
08   08   03 06   00	2003	2.59	2.2	236.66
09   08   03 06   00	2003	0.2	3.61	221.2
10   08   03 06   00	2003	21.28	3.05	207.73
11   08   03 06   00	2003	9.14	3.2	199.05
12   08   03 06   00	2003	11.13	3.03	165.16
13   08   03 06   00	2003	19.87	3.49	177.83
14   08   03 06   00	2003	4.19	3.38	250.39
15   08   03 06   00	2003	2.05	1.21	283.19
16   08   03 06   00	2003	14.12	3.15	304.13
17   08   03 06   00	2003	9.01	0.83	308.16
18   08   03 06   00	2003	12.17	0.8	328.45
19   08   03 06   00	2003	21.92	3.13	322.83
20   08   03 06   00	2003	20.35	0.54	375.67
21   08   03 06   00	2003	3.68	3.62	413.6
22   08   03 06   00	2003	1.44	3.28	401.5
23   08   03 06   00	2003	8.61	2.04	366.83
24   08   03 06   00	2003	9.2	3.63	342.51
25   08   03 06   00	2003	0.16	2.97	323.45
26   08   03 06   00	2003	2.5	3.04	302.08
27   08   03 06   00	2003	8.2	2.1	276.1
28   08   03 06   00	2003	14.78	3.27	282.93
29   08   03 06   00	2003	6.26	1.12	251.55
30   08   03 06   00	2003	21.69	1.75	261.77
31   08   03 06   00	2003	29.58	3.55	310.87
01   09   03 06   00	2003	4.81	1.44	347.6
02   09   03 06   00	2003	2.8	3.28	362.61
03   09   03 06   00	2003	9.33	2.69	351.44
04   09   03 06   00	2003	0.39	2.29	343.83
05   09   03 06   00	2003	7.88	1.96	351.87
06   09   03 06   00	2003	5.83	4.02	367.44
07   09   03 06   00	2003	16.48	1.11	382
08   09   03 06   00	2003	7.73	2.76	381.43
09   09   03 06   00	2003	11.67	2.65	337.96
10   09   03 06   00	2003	1.53	4.79	306.14
11   09   03 06   00	2003	0.17	2.62	298.47
12   09   03 06   00	2003	1.92	3	291.7
13   09   03 06   00	2003	14.24	2.63	272.05
14   09   03 06   00	2003	3.38	2.78	235.39
15   09   03 06   00	2003	8.6	3.3	215.95
16   09   03 06   00	2003	8.13	3.47	204.15
17   09   03 06   00	2003	1.43	4.7	202.31
18   09   03 06   00	2003	7.35	4.51	199.26
19   09   03 06   00	2003	26.06	3.69	201.53
20   09   03 06   00	2003	2.18	3.59	262.97
21   09   03 06   00	2003	8.13	2.36	240.31
22   09   03 06   00	2003	8.98	1.68	221.05
23   09   03 06   00	2003	20.37	4.54	235.48
24   09   03 06   00	2003	0.01	4.61	259.16
25   09   03 06   00	2003	8.3	3.44	277.74
26   09   03 06   00	2003	0.11	3.99	279.5
27   09   03 06   00	2003	1.93	3.87	274.2
28   09   03 06   00	2003	27.56	4.25	267.98
29   09   03 06   00	2003	0.24	2.78	261.75
30   09   03 06   00	2003	7.23	3.64	255.53
01   10   03 06   00	2003	0.1	3.77	249.31
02   10   03 06   00	2003	18.14	3.87	240.15
03   10   03 06   00	2003	2.18	3.75	238
04   10   03 06   00	2003	2.17	2.25	251.96
05   10   03 06   00	2003	0.32	3.79	219.59
06   10   03 06   00	2003	4.7	3.78	206.61
07   10   03 06   00	2003	3.74	4.08	203.21
08   10   03 06   00	2003	6.55	4.23	192.05
09   10   03 06   00	2003	0.06	3.74	173.56
10   10   03 06   00	2003	0.14	3.74	166.35
11   10   03 06   00	2003	0.13	3.75	155.43
12   10   03 06   00	2003	0.45	3.66	134.75
13   10   03 06   00	2003	4.87	3.52	111.2
14   10   03 06   00	2003	13.24	3.47	100.58
15   10   03 06   00	2003	9.16	3.38	102.12
16   10   03 06   00	2003	7.98	3.62	146.93
17   10   03 06   00	2003	6.72	3.06	146.36
18   10   03 06   00	2003	0.77	2.43	146.43
19   10   03 06   00	2003	0.09	4.24	152.22
20   10   03 06   00	2003	1.37	4.25	120.4
21   10   03 06   00	2003	0.05	3.45	105.4
22   10   03 06   00	2003	0.06	3.67	83.59
25   10   03 06   00	2003	0.01	4.23	63.16
26   10   03 06   00	2003	1.92	3.79	58.01
27   10   03 06   00	2003	0.83	3.9	53.01
28   10   03 06   00	2003	2.97	3.9	47.1
29   10   03 06   00	2003	0.06	3.84	41.97
